,LPC_Coefficient5,LPC_Coefficient4,atomFreq6,atomFreq5,atomFreq7,atomFreq8,atomFreq9,atomFreq10,LPC_Coefficient6,atomFreq4,LPC_Coefficient9,atomFreq13,atomFreq3,LPC_Coefficient2,atomFreq11,LPC_Coefficient10,atomFreq14,atomFreq12,LPC_Coefficient8,atomFreq2,LPC_Coefficient14,atomFreq15,LPC_Coefficient15,atomFreq1,atomLen6,LPC_Coefficient11,atomLen7,atomLen5,atomLen8,LPC_Coefficient3,atomLen4,atomLen9,LPC_Coefficient7,atomLen1,atomLen11,LPC_Coefficient13,atomLen13,LPC_Coefficient12,atomLen3,atomLen10,atomPos4,atomPos3,atomLen2,atomPos1,atomPos2,atomAmp2,atomPos5,atomLen15,atomPos11,atomAmp1,atomAmp3,atomPos14,LPC_Coefficient16,atomLen14,atomLen12,atomPos6,atomPos15,atomPos8,atomPos12,atomAmp4,atomPos10,atomPos9,atomPos7,atomPos13,atomAmp5,atomAmp6
0,0.06662699999999999,-0.09120299999999999,0.012804,0.012424,0.011773,0.017687,0.015734,0.012424,0.021835,0.011609999999999999,0.032642000000000004,0.018555000000000002,0.010634000000000001,-0.62574,0.015842,-0.0028106999999999997,0.017958000000000002,0.015951,0.0041419,0.014865,-0.007185899999999999,0.026367,0.0056394,0.015516,198.22,0.020040000000000002,241.78,189.33,256.0,-0.16541,272.89,177.78,0.06675299999999999,168.89,162.67,0.007972100000000001,168.0,-0.0026035999999999998,192.0,281.78,358.56,143.78,190.22,512.44,193.78,3.5921,401.56,208.0,358.44,4.5618,2.1344,364.44,0.015642,217.78,224.89,415.0,359.33,366.0,337.78,1.7381,294.89,329.67,419.0,509.22,1.4003,1.2089
1,0.07381900000000001,-0.04331,0.018328999999999998,0.017953999999999998,0.014799000000000001,0.015099000000000001,0.020358,0.015625,0.08404600000000001,0.014348,0.025516999999999998,0.016526,0.011493000000000001,-0.66822,0.019606000000000002,0.014925,0.020959000000000002,0.016526,0.046261000000000004,0.010817,-0.0073001,0.020883000000000002,0.0026984,0.014422999999999998,194.46,0.0070385000000000005,237.54,172.31,189.54,-0.16715,204.31,146.46,0.07410599999999999,153.85,158.77,-0.0048113,150.15,0.001551,169.85,194.46,273.08,221.23,172.31,265.54,170.15,2.9765,288.92,163.69,290.62,3.6757,2.2958,306.31,0.017446,180.92,209.23,260.92,328.46,320.62,335.54,1.5927,238.92,322.77,187.38,391.54,1.4426,1.173
2,0.051833000000000004,-0.070702,0.016172,0.015,0.017031,0.012188,0.014766,0.014531,0.093651,0.01375,0.023949,0.011641,0.011875,-0.65209,0.019062,-0.0012010999999999999,0.013437000000000001,0.012734,0.054065999999999996,0.010313,-0.006012600000000001,0.014062999999999999,0.00095117,0.010469,230.4,-0.012234,224.0,243.2,218.88,-0.29938000000000003,235.52,198.4,0.084898,343.04,175.36,-0.011187,253.44,-0.01414,153.6,240.64,346.88,44.32,184.32,392.96,76.16,7.152,355.84,215.04,221.12,7.8473,3.3659,480.8,0.010886,190.72,199.68,513.28,346.4,375.36,397.76,2.8078,214.24,345.12,480.64,358.72,2.3391,2.169
3,0.0070922,-0.098094,0.012388,0.015681,0.015625,0.01317,0.019364,0.016853,0.057823,0.012723,0.039445999999999995,0.017188,0.014397,-0.55024,0.020089,0.017679,0.019699,0.018136000000000003,0.059405999999999994,0.014731999999999999,-0.014506,0.021818999999999998,-0.0013429,0.013616,239.54,-0.00013528,187.43,227.66,192.0,-0.27663000000000004,201.14,160.0,0.069923,237.71,196.57,-0.017562,192.91,-0.012281,171.89,209.37,206.17,445.71,149.94,1.8286,120.91,4.3248,293.83,205.71,434.51,7.0216,2.9936,410.74,0.022958000000000003,172.8,185.6,302.06,273.6,384.0,417.14,2.217,264.57,340.91,287.09,372.11,1.7132,1.409
4,0.031783,-0.055762,0.015437000000000001,0.018292,0.016263999999999997,0.016339,0.01585,0.014761000000000002,0.060989999999999996,0.013672,0.029287,0.020733,0.015024000000000001,-0.48213999999999996,0.020132,0.02682,0.022611000000000003,0.01709,0.043123,0.014573,-0.0098993,0.020883000000000002,-0.0051146,0.016602000000000002,145.85,0.017897,174.77,131.08,175.38,-0.22411999999999999,144.62,187.69,0.057093,177.23,157.54,-0.0040349,143.38,0.007226000000000001,133.54,157.54,187.62,240.31,166.15,5.2308,100.15,3.5909,126.92,160.0,260.15,6.2405,2.7418,262.69,0.012231,177.85,150.15,215.08,305.23,221.46,262.54,2.1133,208.54,260.92,167.54,207.46,1.5067,1.2127
5,2.1630000000000003,2.1846,0.41849,0.42318,0.39382,0.37188000000000004,0.40658,0.36973,1.9574,0.44154,0.9907299999999999,0.35762,0.43711000000000005,1.5377,0.36328,0.75316,0.38795999999999997,0.35117,1.3062,0.42891,0.19072,0.37858,0.099496,0.46491000000000005,194.13,0.56913,213.33,144.0,133.33,1.9363,154.67,226.13,1.6468,182.4,189.87,0.31948000000000004,126.93,0.44738999999999995,93.867,165.33,711.2,648.4,59.733000000000004,603.2,687.6,1.9668,631.47,224.0,491.6,2.1586,1.8452,658.27,0.050356,146.13,262.4,535.2,549.07,914.8,657.2,1.7519,738.53,712.0,685.47,846.27,1.6969,1.6626
6,0.092061,-0.014875999999999999,0.017671,0.013625,0.019206,0.015765,0.016368999999999998,0.017578,0.10647999999999999,0.01516,0.014252,0.019857,0.014275999999999999,-0.78387,0.013253000000000001,-0.0075764,0.014974000000000001,0.016834000000000002,0.047186,0.01223,-0.0036016,0.016927,0.01404,0.014602,192.0,-0.021192,151.62,245.33,215.62,-0.27398,189.71,214.1,0.082712,121.9,216.38,-0.018887,201.9,-0.025113,186.67,151.62,183.62,305.9,219.43,33.333,286.86,3.0758,212.76,170.67,331.33,4.8877,2.3727,359.43,0.022336,223.24,171.43,265.43,371.81,332.95,325.33,1.7754,305.62,281.62,270.19,316.38,1.419,1.2564
7,1.1579,1.2455,0.39691,0.39959,0.39905,0.41103999999999996,0.40552,0.41085,0.9617,0.39621999999999996,0.64728,0.40487,0.39798,1.3561,0.39805,0.5865,0.39621999999999996,0.39147,0.7560100000000001,0.39568000000000003,0.14219,0.41234,0.044291000000000004,0.40288,181.96,0.5348,180.71,236.55,217.73,1.3429,242.2,178.2,0.8247200000000001,158.12,195.14,0.28664,219.61,0.41616000000000003,179.45,171.92,659.29,840.0,180.71,447.69,675.76,2.0089,498.04,195.14,434.82,2.4113,1.9466,473.57,0.0050479999999999995,213.33,111.06,541.96,452.0,672.78,502.2,1.8892,565.41,601.18,542.2,457.33,1.8087,1.7121
8,0.025481999999999998,-0.066251,0.018725,0.01571,0.017154,0.019828,0.017875,0.021315,0.05801799999999999,0.015413,0.02864,0.021824,0.013884,-0.5521,0.018767,0.019336000000000002,0.022078999999999998,0.019275999999999998,0.043147000000000005,0.014861000000000001,0.00031266,0.021951,-0.0015532999999999999,0.014946000000000001,248.35,0.014743000000000001,228.17,235.13,197.57,-0.24281999999999998,209.39,147.48,0.057323,202.43,186.43,0.0058222000000000005,204.52,0.010928,208.0,158.61,258.61,224.87,205.22,151.65,270.96,1.6553,319.48,196.17,286.43,2.0723,1.3395,226.96,0.0041419,192.0,176.0,304.87,366.61,267.13,284.0,1.1251,376.96,353.39,277.65,328.35,0.94125,0.8285
9,0.13434000000000001,0.062782,0.016380000000000002,0.015225,0.0182,0.018422,0.022061,0.019043,0.113,0.013627,-0.014083000000000002,0.020241,0.016824000000000002,-0.8556600000000001,0.022994,-0.014411000000000002,0.025435,0.020508000000000002,0.004645600000000001,0.018022,0.010826,0.021174000000000002,0.009012200000000001,0.016069,152.73,-0.0051703,203.64,152.0,204.36,-0.18778,138.18,185.45,0.05279,135.27,157.09,-0.010268000000000001,202.18,0.00076876,154.91,194.18,181.73,155.91,107.64,151.27,435.64,3.0869,249.09,141.82,276.0,3.8710000000000004,2.3578,275.55,0.012166,165.82,140.36,224.64,331.36,259.82,326.64,1.879,291.45,289.18,316.55,325.64,1.574,1.24
10,0.083696,-0.004760800000000001,0.021176,0.026521,0.025287999999999998,0.021998,0.018966,0.020302,0.10413,0.023334999999999998,0.0018256,0.022872,0.02683,-0.7047,0.021279,-0.0033773,0.023232,0.022255,0.034276999999999995,0.021587000000000002,0.0044065,0.023797,0.0075826999999999995,0.022821,122.95,-0.011569,143.16,125.47,130.53,-0.19931,114.53,145.68,0.073517,119.58,199.58,0.0023307,137.26,-0.0031285,87.579,132.21,472.42,200.0,132.21,65.684,42.316,3.5922,394.84,210.53,220.42,4.6176,2.8357,186.32,0.021487,185.26,159.16,288.11,296.0,230.32,279.16,2.1935,338.74,262.63,218.95,304.63,1.6885,1.3349
