,LPC_Coefficient5,LPC_Coefficient2,LPC_Coefficient8,LPC_Coefficient10,F1_S2,LPC_Coefficient7,LPC_Coefficient9,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient6,LPC_Coefficient4,LPC_Coefficient3,LPC_Coefficient1,LPC_Coefficient14,DecayRatioCycle,F1_S1,F2_S2,LPC_Coefficient15,F2_S1
0,-0.0013390999999999998,-0.28193,0.033643,-0.031669,0.015625,-0.022702,-0.097801,0.21393,0.059833000000000004,0.10804000000000001,0.15816,0.28695,-0.1986,0.11402999999999999,-0.06478400000000001,0.0064446,0.011719,0.0,0.12102,0.005859399999999999
1,0.08201900000000001,0.12774000000000002,0.16446,0.032451999999999995,0.019531,-0.019672,0.0034317,0.086136,0.023775,0.0074968000000000005,0.16423,0.16960999999999998,0.14711,-0.36727,0.044185,0.030413,0.005859399999999999,0.046875,0.0042269,0.015625
2,-0.0048314,-0.03347,0.074129,-0.018207,0.0078125,0.22508000000000003,0.10248,0.075222,0.007909300000000001,0.088969,0.12458,0.15458,-0.014402000000000002,-0.031007,0.041072000000000004,0.0039878,0.011719,0.011719,0.042693,0.0078125
3,-0.092407,0.019344999999999998,0.14155,0.23258,0.011719,0.10702,-0.11469000000000001,-0.11746,0.18773,-0.1187,0.13847,0.32134,-0.092349,-0.3641,0.14203,0.0025284,0.011719,0.046875,0.0074872,0.0078125
4,0.046792,-0.043268,0.042316,0.018169,0.011719,0.11384000000000001,0.026601999999999997,0.025151,0.054217999999999995,0.033317,0.1336,0.025034999999999998,0.0035795,-0.26298,0.059226999999999995,0.0065417,0.011719,0.023438,0.043393,0.011719
5,4.3197,2.4412,4.1741,2.9739,0.0078125,4.4848,3.6335,2.2345,1.5358,0.9578399999999999,4.5281,3.8817,3.1585,1.6204,0.49049,0.70503,0.017578,0.015625,0.18827,0.0078125
6,0.13345,0.07838200000000001,0.098286,0.016121,0.015625,0.098387,-0.037506,-0.025372,0.13062,-0.11285999999999999,0.0073549999999999996,-0.17076,0.28776999999999997,-0.78898,0.070892,0.004398,0.0078125,0.0078125,0.02574,0.0078125
7,5.4522,3.7223,4.427,3.1271,0.0078125,4.9236,3.8045,2.4116,1.7458,1.1375,5.3085,5.3256,4.7353,2.2742,0.6008899999999999,0.48563999999999996,0.0078125,0.0078125,0.18869,0.0078125
8,0.19205,-0.027987,0.11072,0.11012999999999999,0.0078125,0.12287999999999999,0.14987,0.061905999999999996,0.07096799999999999,0.10869000000000001,0.19839,0.11168,0.030349,0.64687,0.02029,0.083906,0.013672,0.046875,-0.048018,0.011719
9,-0.010666,-0.055175,0.15719,0.034174,0.011719,0.22091999999999998,0.15875999999999998,0.028201,0.03725,0.0067274,0.15284,0.12897999999999998,0.095775,0.43558,0.081506,0.039744,0.011719,0.019531,0.024352000000000002,0.023438
10,0.030463999999999998,-0.040272,0.041761,0.057036,0.0039062,0.0032138000000000006,-0.0040219999999999995,0.055174,0.036091000000000005,0.055567,0.13288,0.17293,0.11314,-0.43611000000000005,0.025733999999999996,0.0282,0.0078125,0.054688,0.0074021,0.054688
11,0.072487,-0.16165,0.034035,0.072225,0.013672,-0.015562000000000001,0.055745,0.034151999999999995,-0.021215,0.0005141,0.0062954,0.13632,0.047299,-0.49433999999999995,-0.023523,0.02087,0.011719,0.027344,0.014386000000000001,0.015625
12,0.11030999999999999,-0.14854,0.026772000000000004,0.046447,0.009765600000000001,-0.035835000000000006,0.11525999999999999,0.096515,-0.047139,0.029164,0.099253,0.097993,0.10026,0.2164,-0.02251,0.014974000000000001,0.0078125,0.023438,0.0082484,0.0078125
13,-0.10031,0.29029,-0.058721,-0.038212,0.015625,0.11714000000000001,0.11995,0.010293,-0.011156999999999999,0.15746,0.21078000000000002,0.15717,0.12361,-0.59312,-0.079553,0.01956,0.039062,0.023438,-0.048964,0.015625
14,0.084744,-0.45137,0.14068,0.14093,0.017578,0.044864999999999995,-0.0086518,0.0063683,0.10107000000000001,-0.044686000000000003,0.08447400000000001,0.23487,-0.136,0.31871,-0.089348,0.031698000000000004,0.0078125,0.0078125,0.021031,0.015625
